experiment,date,sample,cohort,group,drug,age _wks,spleen_mg,wound,perNP_m_nv,perMO_m_nv,perB_m_nv,perT_m_nv,perDC_m_nv,NP_m_nv,MO_m_nv,B_m_nv,T_m_nv,DC_m_nv,perNP_m_iv,perMO_m_iv,perB_m_iv,perT_m_iv,perDC_m_iv,NP_m_iv,MO_m_iv,B_m_iv,T_m_iv,DC_m_iv,perNP_b,perMO_b,perB_b,perT_b,perDC_b,NP_ul_b,MO_ul_b,B_ul_b,T_ul_b,DC_ul_b,OF_cross_05,OF_cross_610,OF_cross_010,OF_time_05,OF_time_610,OF_time_010,OF_m_05,OF_m_610,OF_m_010,OF_feces,LF_time,LD_cross,SI_approach_05,SI_approach_610,SI_approach_010,SI_05,SI_610,SI_010,SI_social_05,SI_social_610,SI_social_010,SI_nonsocial_05,SI_nonsocial_610,SI_nonsocial_010,USM_mark,USM_area,USM_F_area,USM_pref
NP10,Mar-20,9,3,HC,,12.9,94.4,1,17.39,7.81,,,,,,,,,0.16,0.26,,,,,,,,,5.67,0.27,,,,,,,,,16,14,30,7.91,10.10,9.01,13.05,9.26,22.31,7,,,,,,,,,,,,,,,1,143.54,21.61,15.05
NP10,Mar-20,13,3,HC,,12.9,115.8,1,16.28,6.89,,,,,,,,,0.21,0.25,,,,,,,,,8.4,0.32,,,,,,,,,16,11,27,9.19,5.05,7.12,11.16,8.24,19.40,5,,,,,,,,,,,,,,,1,6.92,3.99,57.65
NP10,Mar-20,14,4,HC,,13,66,1,21.1,8.11,,,,,,,,,0.21,0.24,,,,,,,,,6.21,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45.29,16.20,35.76
NP10,Mar-20,17,4,HC,,13,101.1,1,13.5,6.46,,,,,,,,,0.78,0.32,,,,,,,,,2.92,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.58,0.37,10.35
Exo14NP,Oct-18,1,1,CSD,,10.43,73,,28.65,2.29,19.84,2.49,,,,,,,2.94,0.54,7.57,0.73,,,,,,,,,,,,,,,,,16,23,39,18.93,34.66,26.80,6.19,5.88,12.07,1,59.54,24,16,6,22,1.43,0.29,0.75,26.23,8.13,34.36,18.37,27.65,46.02,,,,
Exo14NP,Oct-18,3,1,CSD,,10.43,68,,26.48,2.55,15.41,2.83,,,,,,,2.61,1.04,7.42,1.19,,,,,,,,,,,,,,,,,21,26,47,28.71,22.79,25.75,6.23,6.41,12.65,0,63.24,30,24,12,36,2.58,1.70,2.15,58.24,36.66,94.9,22.58,21.53,44.11,,,,
Exo14NP,Oct-18,5,1,CSD,,10.43,117,,56.74,6.88,6.53,0.95,,,,,,,3.41,1.5,0.79,0.38,,,,,,,,,,,,,,,,,20,22,42,24.72,29.91,27.31,5.93,5.59,11.52,0,57.15,31,15,20,35,1.50,1.29,1.39,34.72,32.18,66.9,23.22,25.04,48.26,,,,
Exo14NP,Oct-18,7,2,CSD,,11.00,205,,51.00,3.23,5.26,1.36,,,,,,,4.70,0.47,2.15,0.72,,,,,,,,,,,,,,,,,25,24,49,41.06,18.02,29.54,7.58,6.55,14.14,0,51.41,26,18,18,36,1.42,1.05,1.24,41.32,29.72,71.04,29.12,28.37,57.49,,,,
Exo14NP,Oct-18,9,2,CSD,,11.00,67,,32.08,1.93,16.78,1.17,,,,,,,3.51,0.53,6.48,1.62,,,,,,,,,,,,,,,,,26,27,53,26.63,38.74,32.69,6.37,6.17,12.54,0,61.73,38,24,19,43,1.18,1.57,1.37,41.07,54.23,95.3,34.92,34.53,69.45,,,,
Exo14NP,Oct-18,11,2,CSD,,11.00,90,,30.18,2.25,24.68,2.75,,,,,,,1.18,0.38,3.43,0.88,,,,,,,,,,,,,,,,,22,18,40,23.76,13.13,18.45,6.26,6.34,12.60,10,59.50,40,14,13,27,1.23,0.96,1.09,28.09,25.52,53.61,22.77,26.6,49.37,,,,
NP-1,Nov 2018 - Jan 2019,3,1,CSD,,,222,1,42.40,12.16,13.27,1.46,3.78,,,,,,0.50,0.43,1.36,0.21,0.78,,,,,,17.18,0.47,60.52,10.84,2.41,,,,,,,,,,,,,,,,,,16,17,33,2.30,1.61,1.92,36.96,32.4,69.36,16.06,20.1,36.16,,,,
NP-1,Nov 2018 - Jan 2019,4,1,CSD,,,92.2,1,30.91,10.48,21.61,0.81,4.72,,,,,,1.92,2.06,2.68,0.54,1.92,,,,,,32.30,0.77,46.11,7.89,2.37,,,,,,,,,,,,,,,,,,22,12,34,3.12,1.61,2.25,28.28,19.86,48.14,9.06,12.3,21.36,,,,
NP-1,Nov 2018 - Jan 2019,5,1,CSD,,,58,3,33.96,9.96,23.77,0.91,3.08,,,,,,1.36,1.27,3.57,0.84,0.81,,,,,,18.89,0.66,64.50,5.08,2.78,,,,,,,,,,,,,,,,,,25,30,55,5.59,6.87,6.15,47.33,44.74,92.07,8.47,6.51,14.98,,,,
NP-1,Nov 2018 - Jan 2019,15,2,CSD,,,68.2,5,39.05,6.94,12.69,1.71,6.00,,,,,,1.54,3.48,1.75,0.27,0.28,,,,,,40.41,2.81,37.12,9.29,0.97,,,,,,,,,,,,,,,,,,13,20,33,0.95,1.40,1.20,24.37,45.34,69.71,25.73,32.39,58.12,,,,
NP-1,Nov 2018 - Jan 2019,16,2,CSD,,,60.8,4,34.51,7.16,16.06,1.68,6.17,,,,,,3.29,1.99,2.41,0.49,0.99,,,,,,44.38,0.41,37.04,9.05,1.10,,,,,,,,,,,,,,,,,,17,13,30,1.89,1.77,1.83,31.03,34.24,65.27,16.44,19.3,35.74,,,,
NP-1,Nov 2018 - Jan 2019,17,2,CSD,,,64.7,1,29.55,8.21,23.35,2.47,4.80,,,,,,3.19,0.80,1.43,0.22,0.45,,,,,,50.45,0.15,34.69,7.20,1.02,,,,,,,,,,,,,,,,,,24,18,42,3.63,2.98,3.24,50.88,61.03,111.91,14.03,20.51,34.54,,,,
NP-13,Sept - Oct 2019,2,1,CSD,,13.43,81,1,25.3,6.0,17.1,4.9,7.0,4531,1079,3063,878,1094,1.9,1.7,4.7,0.9,0.9,309,261,822,132,158,18.6,1.2,64.7,8.0,0.6,69,5,239,30,2,17,15,32,12.11,19.67,15.89,8.55,7.01,15.56,1,,,24,18,42,9.62,2.08,4.00,101.66,64.52,166.18,10.57,30.96,41.53,0,0.80,0.80,0.00
NP-13,Sept - Oct 2019,4,1,CSD,,13.43,59.7,2,24.2,5.7,11.3,6.4,8.2,3353,787,1560,886,1089,2.9,1.9,2.4,0.8,0.3,351,238,309,94,42,45.9,1.3,42.2,5.9,0.3,211,6,194,27,1,22,13,35,20.44,24.09,22.27,8.01,5.56,13.58,2,,,27,16,43,2.58,1.96,2.18,56.89,76.18,133.07,22.04,38.92,60.96,0,0.00,1.24,0.00
NP-13,Sept - Oct 2019,6,1,CSD,,13.43,65.6,4,14.2,4.1,22.5,4.5,7.4,3761,1093,5937,1197,1809,3.4,3.5,4.5,0.8,0.5,780,891,1112,187,137,56.1,3.7,30.4,5.1,0.3,168,11,91,15,1,10,12,22,8.85,9.45,9.15,8.26,9.27,17.52,0,,,21,21,42,1.81,2.13,1.96,67.24,70.11,137.35,37.25,32.87,70.12,0,0.89,0.89,0.00
NP-13,Sept - Oct 2019,8,1,CSD,,13.43,69.7,3,24.2,7.7,16.6,5.5,5.2,4855,1552,3334,1103,975,2.7,2.8,2.9,1.1,0.4,455,512,552,180,76,45.8,1.9,42.3,4.0,0.3,163,7,151,14,1,24,15,39,20.71,10.29,15.50,9.15,7.24,16.39,0,,,21,22,43,4.75,7.04,5.82,66.19,86.76,152.95,13.94,12.33,26.27,0,0.12,0.00,0.00
NP-3,Jan - Feb 2019,1,1,CSD,,,103,3,37.76,7.28,22.09,2.05,3.61,,,,,,0.20,0.18,2.21,0.10,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,58.34,38,22,20,42,2.33,9.81,6.01,30,122.57,152.57,12.87,12.5,25.37,,,,
NP-3,Jan - Feb 2019,3,1,CSD,,,164,10,38.77,13.01,12.54,2.25,2.61,,,,,,1.58,0.32,1.30,0.25,1.22,,,,,,29.36,0.46,43.02,13.50,0.84,,,,,,,,,,,,,,,,43.56,30,11,13,24,1.27,1.07,1.15,23.49,28.91,52.4,18.51,27.04,45.55,,,,
NP-3,Jan - Feb 2019,5,1,CSD,,,108,8,50.59,9.09,11.13,2.62,4.28,,,,,,0.17,0.05,0.96,0.10,0.10,,,,,,15.61,0.53,43.64,27.69,0.96,,,,,,,,,,,,,,,,53.05,40,29,18,47,5.20,1.65,3.04,80.88,39.7,120.58,15.54,24.1,39.64,,,,
